stock_code,stock_name,market,dividend_date,dividend_amount,buy_price,ex_price,price_change_pct,dividend_yield_pct,total_return_pct,is_profitable
600519,贵州茅台,沪市,2025-12-19,239.57,1446.38,1410.0,-2.52,16.56,14.05,True
600519,贵州茅台,沪市,2025-06-26,276.73,1488.87,1396.23,-6.22,18.59,12.36,True
600519,贵州茅台,沪市,2024-12-20,238.82,1466.81,1467.75,0.06,16.28,16.35,True
600519,贵州茅台,沪市,2024-06-19,308.76,1589.78,1425.21,-10.35,19.42,9.07,True
600519,贵州茅台,沪市,2023-12-20,191.06,1620.85,1534.7,-5.32,11.79,6.47,True
600519,贵州茅台,沪市,2023-06-30,259.11,1475.34,1555.09,5.41,17.56,22.97,True
600036,招商银行,沪市,2026-01-16,10.13,40.47,38.72,-4.32,25.03,20.71,True
600036,招商银行,沪市,2025-07-11,20.0,42.33,44.49,5.1,47.25,52.35,True
600036,招商银行,沪市,2024-07-11,19.72,29.4,30.74,4.56,67.07,71.63,True
600036,招商银行,沪市,2023-07-13,17.38,28.17,28.07,-0.35,61.7,61.34,True
601318,中国平安,沪市,2025-10-24,9.5,54.4,57.88,6.4,17.46,23.86,True
601318,中国平安,沪市,2025-06-30,16.2,50.94,54.58,7.15,31.8,38.95,True
601318,中国平安,沪市,2024-10-18,9.3,41.11,54.67,32.98,22.62,55.61,True
601318,中国平安,沪市,2024-07-26,15.0,37.81,38.65,2.22,39.67,41.89,True
601318,中国平安,沪市,2023-10-25,9.3,43.65,41.32,-5.34,21.31,15.97,True
601318,中国平安,沪市,2023-06-14,15.0,46.36,42.75,-7.79,32.36,24.57,True
600887,伊利股份,沪市,2025-12-17,4.8,28.1,28.85,2.67,17.08,19.75,True
600887,伊利股份,沪市,2025-06-06,12.2,27.91,28.18,0.97,43.71,44.68,True
600887,伊利股份,沪市,2024-06-05,12.0,26.04,25.78,-1.0,46.08,45.08,True
600887,伊利股份,沪市,2023-06-13,10.4,25.98,26.16,0.69,40.03,40.72,True
601288,农业银行,沪市,2026-05-13,1.3,6.64,6.9,3.92,19.58,23.49,True
601288,农业银行,沪市,2025-12-15,1.195,8.37,7.49,-10.51,14.28,3.76,True
